smiles_prepared,plants_score,ledock_score,rldock_score,plants_rank,ledock_rank,rldock_rank,unirna_rank
CCc1ccc(cc1)-n1nnc(C(=O)NCc2ccncc2)c1-c1cccnc1,-10.404,-7.98,-47.748167,355,210,10,3
COc1ccc(cc1)-c1cc(C(=O)N(C)Cc2ccn[nH]2)c2c(C)nn(C)c2n1,-18.4964,-7.48,-21.516398,16,355,202,8
O=C(CC1=NNC(=O)c2ccccc12)NCCCc1nnc2ccccn12,-16.2236,-7.48,-43.278231,120,355,18,12
Cc1cnc(-c2cccnc2)n1CCNC(=O)C1=NNC(=O)c2ccccc12,-11.2124,-8.83,-33.092695,342,23,74,13
Fc1ccc(cc1)-c1nc2cnccn2c1NCCC(=O)NCc1ccccn1,-14.0255,-8.08,-40.431353,232,182,28,15
Cc1cccc(c1)-c1nc2NC(C[NH+]3CCN(CC3)c3ccccc3)=CC(=O)n2n1,-19.1944,-7.87,-31.171649,6,240,93,18
Fc1ccccc1N1CCN(CC1)c1nnc(C(=O)NCc2cccnc2)c2ccccc12,-8.24384,-7.75,-52.24542,388,296,2,23
Cc1ccc(cc1)-c1ccc2nnc(CNC(=O)CNC(=O)c3ccccc3)n2n1,-15.6949,-8.85,-31.60002,153,18,89,26
COc1ccc(cc1)-c1cc(C(=O)N(C)Cc2ccn[nH]2)c2cnn(C)c2n1,-18.2394,-7.8,-16.653622,22,270,241,40
CN(C)c1cccc(c1)-c1nc(no1)-c1ccc2n(CC[NH+]3CCCC3)cnc2c1,-18.8513,-8.06,12.253328,10,188,350,42
O=C(Nc1ccc2nnc(-c3ccc(cc3)C(=O)NCCc3cccnc3)n2c1)C1CCC1,-11.4341,-8.84,-5.208204,339,21,315,43
Clc1ccc(cc1)-c1noc2ncnc(NCCC[NH+]3CCN(CC3)c3ccccc3)c12,-15.0973,-9.14,-35.2436,187,7,60,45
Clc1ccccc1-c1nnc(SCC(=O)NCCc2nc3ccccc3[nH]2)[nH]1,-15.0255,-9.27,-13.51838,192,3,271,46
Cc1nnnn1-c1ccc(cc1)C(=O)NCCn1ccc2ccc(Br)cc12,-15.1412,-8.73,6.626027,182,30,342,48
Fc1ccccc1NC(=O)CCc1nnc2ccc(NCc3ccccc3)nn12,-13.6623,-8.33,-40.741463,263,109,25,50
CC1=C(CCC(=O)Nc2ccc(C)cc2)C(=O)n2nc(NCc3ccc(C)cc3)nc2N1,-14.7316,-8.92,-38.919193,205,13,35,53
Cc1ccc-2c(NC(=O)c3c(nnn-23)C(=O)NCCN2CCc3ccccc3C2)c1,-18.1375,-8.41,26.767491,29,86,364,54
Cc1ccc(cc1)C(=O)NNc1ncnc2n(ncc12)-c1ccc(C)cc1C,-15.348,-8.07,-40.175062,172,183,29,57
Cc1cccc(c1)-c1nc2NC(C[NH+]3CCN(CC3)c3ccc(F)cc3)=CC(=O)n2n1,-19.2003,-7.79,-25.156169,4,274,161,63
Cc1ccc(NCC2=CC(=O)n3nc(NCc4ccc(F)cc4)nc3N2)c(C)c1,-13.8348,-8.75,-26.307566,249,28,141,65
Cc1ccc(cc1)-c1nc2cnccn2c1NCCC(=O)NCc1cccnc1,-13.5626,-8.85,-32.143192,267,18,83,69
CCc1ccccc1NCC1=CC(=O)n2nc(NCc3ccccc3)nc2N1,-13.1924,-8.82,-26.189457,289,24,142,72
CC1=C(CCC(=O)N2CCc3ccccc3C2)C(=O)n2nc(NCc3ccccc3)nc2N1,-15.0633,-8.91,-35.411012,190,14,59,74
Cc1cccc(c1)C(=O)NNc1ncnc2n(ncc12)-c1ccc(C)cc1C,-18.1251,-8.38,-30.074619,30,97,109,75
CCc1cccc(c1)-n1nnc(C(=O)NCc2ccccn2)c1-c1ccncc1,-10.3225,-7.67,-45.097138,360,313,16,82
Clc1ccccc1CN1c2nnc(CCC(=O)NCC[NH+]3CCCC3)n2-c2ccccc2C1=O,-14.951,-8.95,441.840285,198,11,393,90
